model,case_id,shape_MAE,blocking_force_MAPE,stress_MAPE,director_angle_MAE_deg,pitch_MAE_mm,equilibrium_residual,runtime_relative
B0 effective E(T),1,0.0771743364579862,0.20728704765020498,0.1547422541499794,0.2,0.14213452058339,0.007469559652076413,0.6847420683102955
B0 effective E(T),2,0.13617231436164154,0.20178420706192293,0.15179120175204547,0.2,0.15542853600799644,0.014073067618525194,0.5800433175297793
B0 effective E(T),3,0.08124283259782694,0.2124395123457933,0.14063775065049786,0.2,0.15001971290701246,0.009907970929032658,0.6806314189256151
B0 effective E(T),4,0.11656943331624843,0.19706522366295878,0.16655459738619033,0.2,0.17032504081290686,0.012201397257787554,0.5517197592600903
B0 effective E(T),5,0.125093834484481,0.17891188103303202,0.1319829483327598,0.2,0.129040582933164,0.010475162070950193,0.4679411400664799
B0 effective E(T),6,0.10995490837251104,0.19644942602049822,0.17112179188821824,0.2,0.14424931651050396,0.011167904127105213,0.42541007645012313
B0 effective E(T),7,0.1300797722726132,0.18030116995222634,0.16969037575297746,0.2,0.13583344079461795,0.013736696008398212,0.4743187482901662
B0 effective E(T),8,0.1083318565185092,0.11892669588361016,0.16703044098526865,0.2,0.14438967754176793,0.01168320936792039,0.5410884711142651
B0 effective E(T),9,0.1303552690943699,0.21201291370873138,0.17580307055324595,0.2,0.15379413722233812,0.012829918044094779,0.4522954190498784
B0 effective E(T),10,0.10636982280049408,0.17496339497176663,0.12289566118662991,0.2,0.14735591841037843,0.014342216389650917,0.3733917323749104
B0 effective E(T),11,0.10640887256741564,0.1508837697706154,0.1497488257419214,0.2,0.15981225317101863,0.010166799720812915,0.5442357149929561
B0 effective E(T),12,0.09533733375486668,0.1913605842531442,0.1271310546675087,0.2,0.1455556941394998,0.014484716997904993,0.45073062962785015
B0 effective E(T),13,0.1084263737158125,0.18665081234132444,0.14643730125532178,0.2,0.13253458356044595,0.01558575768323208,0.2
B0 effective E(T),14,0.08980398486231225,0.22834088472778236,0.17393127529067742,0.2,0.14005731880711933,0.014638754831533167,0.3536173792249111
B0 effective E(T),15,0.1045610397139937,0.16145632664900972,0.17551740607501715,0.2,0.12173670350397084,0.011242026371000411,0.21942393128844584
B0 effective E(T),16,0.09546918262632527,0.1776687563280359,0.1652112301985928,0.2,0.14130621773458218,0.00826973368197343,0.5543417758318575
B0 effective E(T),17,0.10165424722620411,0.1980201478034226,0.1758879718404101,0.2,0.13433632820323266,0.01351725871455651,0.41916800080207295
B0 effective E(T),18,0.11722213765387934,0.15963466093791592,0.16974013927851717,0.2,0.13380986571182085,0.012563960343712276,0.5829110138187135
B0 effective E(T),19,0.11730019302611944,0.15199892454726235,0.1792950401441133,0.2,0.14083817974904964,0.011607280975758784,0.48756445191091274
B0 effective E(T),20,0.11252585834140062,0.19926754152064585,0.15444827184651375,0.2,0.17135937020600994,0.011248985892493131,0.42223530710846835
B0 effective E(T),21,0.09519252112164946,0.1584939848433376,0.14148509940699788,0.2,0.1372328729438193,0.009722628756299105,0.5174970860968586
B0 effective E(T),22,0.1266839866871241,0.17614202038722537,0.16805477221096113,0.2,0.15871794800328207,0.011385782525682054,0.22546458034323164
B0 effective E(T),23,0.1041130090273898,0.14675215289256135,0.13064885065698753,0.2,0.15567893040520944,0.010466193820002734,0.41494872099228886
B0 effective E(T),24,0.1084675655777657,0.1701792956499282,0.1395352490057023,0.2,0.11404007221402483,0.00861519622978283,0.3234076317548001
B0 effective E(T),25,0.09538860072389184,0.21154199356492756,0.18588194261987617,0.2,0.14453786932942878,0.011275276945387241,0.5159064647571502
B0 effective E(T),26,0.11092737837521219,0.21527896086063664,0.21316540663409317,0.2,0.1486796062707862,0.009803011583809442,0.5692422860833852
B0 effective E(T),27,0.07494552066872621,0.1926727761668414,0.20113429269851807,0.2,0.13238452022360978,0.01371660276365734,0.5733798972171182
B0 effective E(T),28,0.11679062744051795,0.17195940466676268,0.18110603519773694,0.2,0.14078228109105992,0.011891107475956097,0.2825898362495546
