task,seed,method,normalized_HV,IGD_plus
DTLZ1_D14,1,Frank-WT MF-PIRN,0.8620921005270897,0.01562217683239476
DTLZ1_D14,2,Frank-WT MF-PIRN,0.8598461657864661,0.01373482060223491
DTLZ1_D14,3,Frank-WT MF-PIRN,0.8754224643396767,0.010180048696020228
DTLZ1_D14,4,Frank-WT MF-PIRN,0.865991069769144,0.014304802980544044
DTLZ1_D14,5,Frank-WT MF-PIRN,0.8670993110787366,0.012032495339422904
DTLZ1_D14,6,Frank-WT MF-PIRN,0.8495343485576274,0.012703713992223063
DTLZ1_D14,7,Frank-WT MF-PIRN,0.859946429435428,0.0142204736343318
DTLZ1_D14,8,Frank-WT MF-PIRN,0.8428034342588003,0.013755530605752696
DTLZ1_D14,9,Frank-WT MF-PIRN,0.8463628601256958,0.008067270719206172
DTLZ1_D14,10,Frank-WT MF-PIRN,0.8534244307208195,0.01170696062162813
DTLZ1_D14,11,Frank-WT MF-PIRN,0.8656488879596106,0.012051116750506734
DTLZ1_D14,12,Frank-WT MF-PIRN,0.8661318839446236,0.01218855916997221
DTLZ1_D14,13,Frank-WT MF-PIRN,0.8528956550862076,0.014893145502935287
DTLZ1_D14,14,Frank-WT MF-PIRN,0.8505974715788955,0.009404619170811134
DTLZ1_D14,15,Frank-WT MF-PIRN,0.8736446405770141,0.01603502597325912
DTLZ1_D14,16,Frank-WT MF-PIRN,0.8791749138369361,0.013700194717076904
DTLZ1_D14,17,Frank-WT MF-PIRN,0.8613902696702015,0.011538294302579293
DTLZ1_D14,18,Frank-WT MF-PIRN,0.848413041377043,0.01593641786551827
DTLZ1_D14,19,Frank-WT MF-PIRN,0.8464605871446836,0.010416412936755062
DTLZ1_D14,20,Frank-WT MF-PIRN,0.8647074634464192,0.013023830397406769
DTLZ1_D14,1,MF-HVKG,0.8653757401254868,0.011497546726596287
DTLZ1_D14,2,MF-HVKG,0.853551462494836,0.011558400441310226
DTLZ1_D14,3,MF-HVKG,0.8423826115201664,0.013110715363070909
DTLZ1_D14,4,MF-HVKG,0.8583003030754971,0.016252196633523185
DTLZ1_D14,5,MF-HVKG,0.8542808043753808,0.014985915089365377
DTLZ1_D14,6,MF-HVKG,0.8494290214140201,0.014571917255400125
DTLZ1_D14,7,MF-HVKG,0.8382103722503359,0.012220280749891236
DTLZ1_D14,8,MF-HVKG,0.8356717815467979,0.012728250998623746
DTLZ1_D14,9,MF-HVKG,0.829748854473417,0.014126858039851743
DTLZ1_D14,10,MF-HVKG,0.8365273701753188,0.01162536124400064
DTLZ1_D14,11,MF-HVKG,0.8530248469379287,0.012043098900569805
DTLZ1_D14,12,MF-HVKG,0.8581641449338274,0.013763071390090274
DTLZ1_D14,13,MF-HVKG,0.844362969397645,0.011256834530859267
DTLZ1_D14,14,MF-HVKG,0.8675104202020928,0.015078777307928058
DTLZ1_D14,15,MF-HVKG,0.8588997374009845,0.015200473258410603
DTLZ1_D14,16,MF-HVKG,0.8544627700662886,0.016308987414548136
DTLZ1_D14,17,MF-HVKG,0.8249062362024413,0.013806739708555647
DTLZ1_D14,18,MF-HVKG,0.8291922854933372,0.014076655674598294
DTLZ1_D14,19,MF-HVKG,0.8613651249665895,0.014560408020462092
DTLZ1_D14,20,MF-HVKG,0.8517054772924578,0.011606889863635771
DTLZ1_D14,1,qLogNEHVI,0.8501764149002857,0.016015375524333027
DTLZ1_D14,2,qLogNEHVI,0.8399886360567785,0.014517357062367817
DTLZ1_D14,3,qLogNEHVI,0.8531898993087226,0.01771288127873242
DTLZ1_D14,4,qLogNEHVI,0.8503645478306724,0.016470216726764367
DTLZ1_D14,5,qLogNEHVI,0.8345787257059962,0.0159577824366563
DTLZ1_D14,6,qLogNEHVI,0.8468340968579983,0.017652717103610112
DTLZ1_D14,7,qLogNEHVI,0.8326769084073316,0.016032188450144362
DTLZ1_D14,8,qLogNEHVI,0.8336241740611946,0.013301914016173368
DTLZ1_D14,9,qLogNEHVI,0.8431160824159097,0.016483324944488027
DTLZ1_D14,10,qLogNEHVI,0.8566116085428451,0.018581266256291955
DTLZ1_D14,11,qLogNEHVI,0.8399846954491674,0.01367660362763458
DTLZ1_D14,12,qLogNEHVI,0.8424072250299592,0.014145324576182887
DTLZ1_D14,13,qLogNEHVI,0.8625331913771046,0.016744146030603767
DTLZ1_D14,14,qLogNEHVI,0.836264506808547,0.01902106205617235
DTLZ1_D14,15,qLogNEHVI,0.8448708081059643,0.011271165588204398
DTLZ1_D14,16,qLogNEHVI,0.8504801238077676,0.017738472314107884
DTLZ1_D14,17,qLogNEHVI,0.832296942917516,0.015491807474367816
DTLZ1_D14,18,qLogNEHVI,0.8385898234221141,0.0186267313011409
DTLZ1_D14,19,qLogNEHVI,0.8388190555907947,0.015797417841539013
DTLZ1_D14,20,qLogNEHVI,0.8486172735434382,0.015328843218764461
DTLZ1_D14,1,MOMF,0.8335670617752241,0.017884622714468803
DTLZ1_D14,2,MOMF,0.8364498223924957,0.013916516772961452
DTLZ1_D14,3,MOMF,0.8340049591367474,0.01399748733199512
DTLZ1_D14,4,MOMF,0.835201793107897,0.017564307723338286
DTLZ1_D14,5,MOMF,0.8368270889576546,0.014230827189055124
DTLZ1_D14,6,MOMF,0.8272822385148124,0.013774605943532586
DTLZ1_D14,7,MOMF,0.8224958229299771,0.017402345948934153
DTLZ1_D14,8,MOMF,0.8352380733518786,0.01832711855913339
DTLZ1_D14,9,MOMF,0.8305268311084201,0.020131539544503856
DTLZ1_D14,10,MOMF,0.832818345905478,0.018632973756642145
DTLZ1_D14,11,MOMF,0.8442766580802312,0.014438687360690462
DTLZ1_D14,12,MOMF,0.84297138049618,0.01723076920374132
DTLZ1_D14,13,MOMF,0.8504159191737876,0.01775429726477512
DTLZ1_D14,14,MOMF,0.8362970344011246,0.019024835338831196
DTLZ1_D14,15,MOMF,0.8511904527517687,0.021173737682723504
DTLZ1_D14,16,MOMF,0.8430199987712662,0.020114761795367923
DTLZ1_D14,17,MOMF,0.8436066348025321,0.017132703110025512
DTLZ1_D14,18,MOMF,0.8434011304849502,0.017220147813202885
DTLZ1_D14,19,MOMF,0.8519991056120368,0.014180000654567608
DTLZ1_D14,20,MOMF,0.8247321962361363,0.014931891696091812
DTLZ1_D14,1,PHSEA,0.8094281421274188,0.019722150915019034
DTLZ1_D14,2,PHSEA,0.8316500849872077,0.022308959133847568
DTLZ1_D14,3,PHSEA,0.8363883851979252,0.02002050915856465
DTLZ1_D14,4,PHSEA,0.8120827230237105,0.021593429918815955
DTLZ1_D14,5,PHSEA,0.8317017259591385,0.02081949734552946
DTLZ1_D14,6,PHSEA,0.8378252916299815,0.017539688250148112
DTLZ1_D14,7,PHSEA,0.8113475138832407,0.021640976556915728
DTLZ1_D14,8,PHSEA,0.8320059456115922,0.018727423235936864
DTLZ1_D14,9,PHSEA,0.828537997193935,0.016986255001747705
DTLZ1_D14,10,PHSEA,0.8258782282357543,0.01899113649550875
DTLZ1_D14,11,PHSEA,0.8358890358901868,0.018015584851518034
DTLZ1_D14,12,PHSEA,0.8421590248610282,0.02016775898641508
DTLZ1_D14,13,PHSEA,0.8272377246620137,0.01672426154371451
DTLZ1_D14,14,PHSEA,0.8189976482907944,0.015914933593271563
DTLZ1_D14,15,PHSEA,0.8191738778142728,0.017715173936187625
