variant,seed,normalized_HV,shape_MAE,blocking_force_MAPE,HF_calls_to_target,solver_failure_fraction
Frank-WT MF-PIRN,1,0.9314423251118422,0.040341105115486144,0.05214625419351225,109,0.019907530048975865
Frank-WT MF-PIRN,2,0.9211480457718797,0.04508937796006045,0.05151056926903511,96,0.036986751697639556
Frank-WT MF-PIRN,3,0.93151126771159,0.04405933230481457,0.0579558023477126,106,0.0310796378936555
Frank-WT MF-PIRN,4,0.9336031128567583,0.0332008410897991,0.05273411292582664,105,0.02622202583360329
Frank-WT MF-PIRN,5,0.9245166808163405,0.045417732766489353,0.057532614243981185,105,0.033219111174202676
Frank-WT MF-PIRN,6,0.930042744046725,0.03860410984431773,0.0535834678753264,101,0.01581118918200713
Frank-WT MF-PIRN,7,0.9295554809233932,0.03564767316815306,0.05110209980811961,109,0.03083365476505112
Frank-WT MF-PIRN,8,0.9381442617504486,0.04115070301912561,0.05906312749184526,109,0.02243267889778414
Frank-WT MF-PIRN,9,0.9269949442624763,0.041683040371289296,0.05865152118303658,100,0.0375625786322078
Frank-WT MF-PIRN,10,0.9413006259094685,0.037267879636694375,0.04722008662583346,105,0.018645021195805772
Frank-WT MF-PIRN,11,0.9307250944193431,0.044899476493749486,0.05381374083788958,104,0.025862889994199598
Frank-WT MF-PIRN,12,0.9187637433152585,0.046555383568364056,0.04835958794072524,107,0.0446537311351922
Frank-WT MF-PIRN,13,0.9279125753113712,0.04457482855800595,0.05165626876778987,103,0.02688339975228505
Frank-WT MF-PIRN,14,0.9275332517765733,0.039331149436786506,0.05629577452053394,100,0.02599673461917834
Frank-WT MF-PIRN,15,0.9322194761350752,0.04475609133243268,0.04907218141298059,101,0.010251043428472061
Frank-WT MF-PIRN,16,0.932526222073865,0.042997349643101354,0.050660917877336877,98,0.04108558740839322
Frank-WT MF-PIRN,17,0.9307689264741756,0.040964265348142105,0.053162270710573105,92,0.023655427498570344
Frank-WT MF-PIRN,18,0.9361176953862207,0.03695796211413545,0.051813505013209755,112,0.0437655835169253
Frank-WT MF-PIRN,19,0.9237352710689269,0.03966658424388995,0.046065899130301846,101,0.015613777699616261
Frank-WT MF-PIRN,20,0.927494723502098,0.03706130461325642,0.06413057831534559,102,0.02031971140162625
Frank-WT MF-PIRN,21,0.9367833520987328,0.03652778739752321,0.04993758882633474,111,0.02752435221779556
Frank-WT MF-PIRN,22,0.9384798311914702,0.04223636047451762,0.048498967080206824,94,0.04362522997300139
Frank-WT MF-PIRN,23,0.930729307077747,0.043465069104428676,0.06328178562979347,104,0.027986555285691106
Frank-WT MF-PIRN,24,0.9322627621452219,0.04567142220347446,0.05832904868301407,98,0.024299237389877083
Frank-WT MF-PIRN,25,0.9335078729449738,0.03693277161709381,0.05392231856840828,118,0.030484996776528637
Frank-WT MF-PIRN,26,0.9307432793792965,0.03799613344541913,0.054597381761893625,111,0.04803376709255723
Frank-WT MF-PIRN,27,0.9366040280856535,0.03647540272666386,0.04990896531570052,86,0.031255411658383886
Frank-WT MF-PIRN,28,0.9277269818119163,0.04045241068768942,0.06206986324249751,106,0.033537562426870005
Frank-WT MF-PIRN,29,0.9427746930929348,0.03806345864143889,0.05838863967361695,107,0.024230018571367418
Frank-WT MF-PIRN,30,0.9216141832220383,0.04487167511866541,0.05688458985501055,103,0.0374955496694372
B0 effective E(T),1,0.8625276420213432,0.11700670601434625,0.2249564579863123,189,0.12090519911080133
B0 effective E(T),2,0.8303166005493806,0.10938228169473255,0.1866896447232623,185,0.13740992382383577
B0 effective E(T),3,0.844497919455073,0.09879107751838195,0.1919809675259206,186,0.13262828713045513
B0 effective E(T),4,0.8377542431860041,0.10587750688231135,0.20639480865536564,191,0.1301472962561776
B0 effective E(T),5,0.8472711071357109,0.11102304549953698,0.2056396348352934,194,0.1316850371142607
B0 effective E(T),6,0.8544683583309527,0.11308340049439998,0.16621322180974918,173,0.1292874236795385
B0 effective E(T),7,0.821830501708089,0.1227685348676032,0.19289109716279346,186,0.1401598202852134
B0 effective E(T),8,0.8199681776974882,0.08814731382129004,0.1605026099007318,190,0.13315598028551687
B0 effective E(T),9,0.8563431520020233,0.10472946900292175,0.16861635827373708,188,0.12966294557480035
B0 effective E(T),10,0.8441858083974025,0.11515602530222226,0.18527222884740538,175,0.13089089550828564
B0 effective E(T),11,0.8465049050317641,0.10792466940866556,0.19065348998562873,186,0.137279745100519
B0 effective E(T),12,0.8555616228282285,0.11984950877324974,0.21292742568660292,191,0.13690117628566031
B0 effective E(T),13,0.8361002036584579,0.1169958411708454,0.14825909301198995,182,0.1179699480029565
B0 effective E(T),14,0.8111182802017357,0.11034010395200705,0.21192925688810596,198,0.11876927509100907
