method,seed,HF_calls,normalized_HV,IGD_plus
Frank-WT MF-PIRN,1,20,0.7130272458941804,0.04607239054632669
Frank-WT MF-PIRN,1,30,0.7669585335118553,0.03370747840390926
Frank-WT MF-PIRN,1,40,0.8053205454299678,0.02514345970392657
Frank-WT MF-PIRN,1,50,0.8388715248112899,0.019214896794855812
Frank-WT MF-PIRN,1,60,0.8627898483698022,0.014990301068439203
Frank-WT MF-PIRN,1,70,0.8781188228228853,0.011279060536182467
Frank-WT MF-PIRN,1,80,0.8910455177609018,0.009453757669511615
Frank-WT MF-PIRN,1,90,0.899541588640242,0.007968839180658329
Frank-WT MF-PIRN,1,100,0.9041763523361364,0.006445887115792654
Frank-WT MF-PIRN,1,110,0.9141933842963691,0.005520832723585421
Frank-WT MF-PIRN,1,120,0.9189672247033009,0.00557419465944747
Frank-WT MF-PIRN,1,130,0.9208683906983901,0.004634420103280882
Frank-WT MF-PIRN,1,140,0.9192790812251412,0.004217060716955774
Frank-WT MF-PIRN,1,150,0.9257197587309193,0.004197383454133019
Frank-WT MF-PIRN,1,160,0.9277380644466235,0.004124854295650557
Frank-WT MF-PIRN,1,170,0.9278158698499546,0.004215411456655558
Frank-WT MF-PIRN,1,180,0.928804146024131,0.005660637356139513
Frank-WT MF-PIRN,1,190,0.9284099223912586,0.004890370910248413
Frank-WT MF-PIRN,1,200,0.9312686782943389,0.0036099233778510063
Frank-WT MF-PIRN,2,20,0.7107618588594399,0.04639511480611717
Frank-WT MF-PIRN,2,30,0.7699635600038776,0.034097841141964645
Frank-WT MF-PIRN,2,40,0.8062998610817188,0.026241418280910835
Frank-WT MF-PIRN,2,50,0.8387159239001222,0.019795251143171915
Frank-WT MF-PIRN,2,60,0.8635107961501874,0.015243299397176505
Frank-WT MF-PIRN,2,70,0.8770279412311266,0.011285683515939445
Frank-WT MF-PIRN,2,80,0.8897738610866823,0.00916704595154328
Frank-WT MF-PIRN,2,90,0.9005464227583269,0.007606096321992138
Frank-WT MF-PIRN,2,100,0.9065168089084426,0.006409846558937506
Frank-WT MF-PIRN,2,110,0.9145702413265994,0.005928537606468019
Frank-WT MF-PIRN,2,120,0.9191586632197212,0.005524111666029977
Frank-WT MF-PIRN,2,130,0.9200190145652686,0.004688317724113355
Frank-WT MF-PIRN,2,140,0.9285607490549316,0.004672988287364633
Frank-WT MF-PIRN,2,150,0.9269601099020741,0.004979980798352108
Frank-WT MF-PIRN,2,160,0.9234168435838794,0.0039873929707514464
Frank-WT MF-PIRN,2,170,0.9297484268983106,0.004244869268812255
Frank-WT MF-PIRN,2,180,0.9311418417823503,0.003932651549327223
Frank-WT MF-PIRN,2,190,0.9303527649470879,0.004447144251055425
Frank-WT MF-PIRN,2,200,0.9351514346019638,0.003596132537639909
Frank-WT MF-PIRN,3,20,0.7112437018591575,0.04646791227931048
Frank-WT MF-PIRN,3,30,0.7673257655158153,0.0355943981359665
Frank-WT MF-PIRN,3,40,0.8103224405845111,0.025588877007982232
Frank-WT MF-PIRN,3,50,0.8372932929265564,0.018671976792804502
Frank-WT MF-PIRN,3,60,0.8633897240515058,0.015038285951324096
Frank-WT MF-PIRN,3,70,0.8771531404929367,0.011201428133237157
Frank-WT MF-PIRN,3,80,0.8937735837967694,0.009326910739437758
Frank-WT MF-PIRN,3,90,0.902740851816822,0.007506423111592976
Frank-WT MF-PIRN,3,100,0.9089461808906883,0.006295513514512062
Frank-WT MF-PIRN,3,110,0.9108344223376459,0.0058834680550382806
Frank-WT MF-PIRN,3,120,0.9158584961571159,0.006080368869325324
Frank-WT MF-PIRN,3,130,0.9217464390317386,0.0047466229046072275
Frank-WT MF-PIRN,3,140,0.9231691402451931,0.004837687910783937
Frank-WT MF-PIRN,3,150,0.9270766369964148,0.004343416260026856
Frank-WT MF-PIRN,3,160,0.9287851860265203,0.004978854650659174
Frank-WT MF-PIRN,3,170,0.9293922810133738,0.004106503622918769
Frank-WT MF-PIRN,3,180,0.9318380932338678,0.003997425636743768
Frank-WT MF-PIRN,3,190,0.9304977589708108,0.003793633797787917
Frank-WT MF-PIRN,3,200,0.9314385145786461,0.0036623682424270867
Frank-WT MF-PIRN,4,20,0.7132319765837392,0.046902941049502114
Frank-WT MF-PIRN,4,30,0.7650873924462701,0.03370428251601147
Frank-WT MF-PIRN,4,40,0.807159765266271,0.024923639083903163
Frank-WT MF-PIRN,4,50,0.8312533807495613,0.01902758317518785
Frank-WT MF-PIRN,4,60,0.8609316081030336,0.014329023059074736
Frank-WT MF-PIRN,4,70,0.8763348300978648,0.01165614101261355
Frank-WT MF-PIRN,4,80,0.8890588529247341,0.01031855360055815
Frank-WT MF-PIRN,4,90,0.8995953252501168,0.007861707791837778
Frank-WT MF-PIRN,4,100,0.9097986777501783,0.006456765981753956
Frank-WT MF-PIRN,4,110,0.911915553749439,0.006084094238597576
Frank-WT MF-PIRN,4,120,0.9141521513901174,0.0060684845186267985
Frank-WT MF-PIRN,4,130,0.9183475891199145,0.00535368346961358
Frank-WT MF-PIRN,4,140,0.925825450267989,0.004944771079334358
Frank-WT MF-PIRN,4,150,0.9214905695011723,0.004769187699145716
Frank-WT MF-PIRN,4,160,0.9246553704031748,0.00405804356243269
Frank-WT MF-PIRN,4,170,0.9251266809017977,0.004000568289328841
Frank-WT MF-PIRN,4,180,0.9258319306294944,0.003738808914775096
Frank-WT MF-PIRN,4,190,0.9325375846196664,0.004635064437426011
Frank-WT MF-PIRN,4,200,0.9237839928569186,0.0036407744027735895
Frank-WT MF-PIRN,5,20,0.7134053546807595,0.046921209945115484
Frank-WT MF-PIRN,5,30,0.767863893064428,0.03364344836117533
Frank-WT MF-PIRN,5,40,0.8087832699214185,0.02642539779184476
Frank-WT MF-PIRN,5,50,0.8417021018567917,0.01878733813363441
Frank-WT MF-PIRN,5,60,0.8639300118963531,0.014704750646540102
Frank-WT MF-PIRN,5,70,0.8849119359314914,0.011950746120998147
Frank-WT MF-PIRN,5,80,0.8950905735769038,0.009366528516907639
Frank-WT MF-PIRN,5,90,0.9036414233667468,0.008044611116241872
Frank-WT MF-PIRN,5,100,0.9127915121245166,0.007950889755830946
Frank-WT MF-PIRN,5,110,0.9196296519091377,0.006199539358830836
Frank-WT MF-PIRN,5,120,0.9223932640164303,0.005270457613571458
Frank-WT MF-PIRN,5,130,0.9254948844479736,0.004788479903041074
Frank-WT MF-PIRN,5,140,0.9277933129867098,0.004660367387089948
Frank-WT MF-PIRN,5,150,0.9272320246603653,0.004743764183376668
Frank-WT MF-PIRN,5,160,0.9305249357257891,0.003920986662151268
Frank-WT MF-PIRN,5,170,0.9322883564065881,0.003879589712102687
Frank-WT MF-PIRN,5,180,0.935289000576359,0.00442195175305519
Frank-WT MF-PIRN,5,190,0.93297394033936,0.004289536995008253
Frank-WT MF-PIRN,5,200,0.9322833072843582,0.004844231094411325
Frank-WT MF-PIRN,6,20,0.7129950147397995,0.04781957221566146
Frank-WT MF-PIRN,6,30,0.7659991845865295,0.034029726605976085
Frank-WT MF-PIRN,6,40,0.8070752433451441,0.025081041896787355
Frank-WT MF-PIRN,6,50,0.8391609743842481,0.019036056815242265
Frank-WT MF-PIRN,6,60,0.8590504444478995,0.014308619093286174
Frank-WT MF-PIRN,6,70,0.8769011689224193,0.011496524726155201
Frank-WT MF-PIRN,6,80,0.8926673244501497,0.009761299831954649
Frank-WT MF-PIRN,6,90,0.9020236584951999,0.007402801020071588
Frank-WT MF-PIRN,6,100,0.910950201609653,0.006857184169301594
Frank-WT MF-PIRN,6,110,0.9140299963075433,0.005422640877735808
Frank-WT MF-PIRN,6,120,0.9122022145860951,0.006741250609989727
Frank-WT MF-PIRN,6,130,0.9201798109020939,0.005104622055933695
