design,replicate,temperature_C,shape_error,blocking_force_mN,curvature_per_mm
shape-priority,1,25.0,0.12759231299580404,0.0,0.011756745531753762
shape-priority,1,30.0,0.12837472041089104,0.20671945569446443,0.0
shape-priority,1,35.0,0.1337842614592603,0.0,0.0005762019829579918
shape-priority,1,40.0,0.13134550799626069,0.0,0.0
shape-priority,1,45.0,0.12956933850858077,1.4713049370039957,0.0
shape-priority,1,50.0,0.13101331368766128,1.6039284996157588,0.0111108341332837
shape-priority,1,55.0,0.13033641652016312,0.9241456685301287,0.035564607297539186
shape-priority,1,60.0,0.12494948766829658,2.2098940015193054,0.030919979938028246
shape-priority,1,65.0,0.12116833209992087,3.1834391705382643,0.05996495997662568
shape-priority,1,70.0,0.1127211898035088,3.7842832692591717,0.0662129332206598
shape-priority,1,75.0,0.11111066623407166,6.29351703630553,0.16044393337191235
shape-priority,1,80.0,0.0997253539952055,8.88106860634135,0.24022355069835608
shape-priority,1,85.0,0.0823509790593001,14.27435232761917,0.35791825390521004
shape-priority,1,90.0,0.07045302339588337,19.397286571790602,0.4744020884573677
shape-priority,1,95.0,0.05410211385262019,23.84070604156288,0.5595798439739825
shape-priority,1,100.0,0.04380423509114605,27.69358508956066,0.6485057814940844
shape-priority,1,105.0,0.0351011144298946,30.054075307386505,0.7006483876925127
shape-priority,1,110.0,0.03365951873962868,31.93000791229445,0.7528930963808012
shape-priority,1,115.0,0.029267344228652892,33.08898653954525,0.7892864278042074
shape-priority,1,120.0,0.030522274833278108,33.71643865101062,0.8130176007448885
shape-priority,1,125.0,0.02203041326162011,33.36416537015171,0.8003877177650943
shape-priority,1,130.0,0.017505129645839022,34.196626861978714,0.7985719352636171
shape-priority,1,135.0,0.019303673898164134,33.27953335386432,0.8001775829289295
shape-priority,1,140.0,0.015158459352989114,33.75357869584749,0.8193686930933306
shape-priority,2,25.0,0.12771184671548003,0.0,0.010672166220105746
shape-priority,2,30.0,0.13059002793412058,0.0,0.0
shape-priority,2,35.0,0.13156327006977545,0.0,0.004603541871454085
shape-priority,2,40.0,0.1330556562687042,0.1344863383605361,0.0
shape-priority,2,45.0,0.12255324944815359,2.466708038158305,0.00843817588849822
shape-priority,2,50.0,0.13295727304675292,0.0,0.0007984585943733545
shape-priority,2,55.0,0.13264343003903734,2.073640085206264,0.0
shape-priority,2,60.0,0.12829040695524085,0.1351091917230216,0.02492437585059501
shape-priority,2,65.0,0.1191009563575745,3.1243423055095407,0.04262310485049565
shape-priority,2,70.0,0.12001271333588855,4.670286559568808,0.09125205088768641
shape-priority,2,75.0,0.10837462395708064,7.539893864707268,0.1382659046850584
shape-priority,2,80.0,0.09468735124587925,9.504915771143601,0.24138833188130018
shape-priority,2,85.0,0.08587526536116441,14.268244488067646,0.350642232965294
shape-priority,2,90.0,0.07433229048747711,18.97512520886328,0.46379129033187266
shape-priority,2,95.0,0.05663775325150362,22.792823014294903,0.5558574220194328
shape-priority,2,100.0,0.0431311777661136,27.469144643541668,0.6639769130883837
shape-priority,2,105.0,0.03220885417632615,28.890742925536948,0.6967609190528157
shape-priority,2,110.0,0.030280590577394583,31.549465761023594,0.7587904078303754
shape-priority,2,115.0,0.023969937604424788,33.374415916167266,0.7846989458448054
shape-priority,2,120.0,0.026864560933030916,33.47690394004207,0.8093366610093141
shape-priority,2,125.0,0.022211341576799933,33.817414771821454,0.815558287384385
shape-priority,2,130.0,0.019229102153745344,34.17540022754065,0.7984844291785443
