seed,Frank3,fingerprint,PIRN,physics_gate,normalized_HV
1,0,0,0,0,0.8342696522486771
2,0,0,0,0,0.8278718022010816
3,0,0,0,0,0.8411092461199703
4,0,0,0,0,0.8389130311271346
5,0,0,0,0,0.828566620794428
6,0,0,0,0,0.8341116608443506
7,0,0,0,0,0.8329020971490868
8,0,0,0,0,0.841488858698154
9,0,0,0,0,0.8348072933811894
10,0,0,0,0,0.8409496775018726
11,0,0,0,0,0.8397459806553506
12,0,0,0,0,0.8239489023660974
13,0,0,0,0,0.8304358552079814
14,0,0,0,0,0.8452563914368391
15,0,0,0,0,0.83341858647939
16,0,0,0,0,0.8281463905701006
17,0,0,0,0,0.8316805334860474
18,0,0,0,0,0.8389644342997786
19,0,0,0,0,0.8324405051375444
20,0,0,0,0,0.8326431322679266
1,1,0,0,0,0.8565267007561064
2,1,0,0,0,0.8584262406401483
3,1,0,0,0,0.8697062373736351
4,1,0,0,0,0.8604480555097421
5,1,0,0,0,0.8670749921001017
6,1,0,0,0,0.8539235433452808
7,1,0,0,0,0.8636572149943117
8,1,0,0,0,0.8646112200085008
9,1,0,0,0,0.8543070620780652
10,1,0,0,0,0.869146781332183
11,1,0,0,0,0.8604351830254482
12,1,0,0,0,0.8611181831071136
13,1,0,0,0,0.8587640926198853
14,1,0,0,0,0.8668929982051531
15,1,0,0,0,0.8645850350104154
16,1,0,0,0,0.8609948155733981
17,1,0,0,0,0.8609518304797859
18,1,0,0,0,0.8609345150625322
19,1,0,0,0,0.8619687223267836
20,1,0,0,0,0.8616210098962698
1,0,1,0,0,0.8500255014088177
2,0,1,0,0,0.8627368575897038
3,0,1,0,0,0.8550723248201513
4,0,1,0,0,0.85344001898396
5,0,1,0,0,0.8692469764203394
6,0,1,0,0,0.8512842073897585
7,0,1,0,0,0.8518701340894783
8,0,1,0,0,0.8590726545018175
9,0,1,0,0,0.8537688545684534
10,0,1,0,0,0.8472681537174249
11,0,1,0,0,0.8539748682319653
12,0,1,0,0,0.8633195904703489
13,0,1,0,0,0.8541668099415041
14,0,1,0,0,0.8595960386920982
15,0,1,0,0,0.8553497736852284
16,0,1,0,0,0.850898101570378
17,0,1,0,0,0.8614927708445683
18,0,1,0,0,0.8660920910287131
19,0,1,0,0,0.8536799683790788
20,0,1,0,0,0.8552630645302887
1,1,1,0,0,0.8916468762004092
2,1,1,0,0,0.8956979925725661
3,1,1,0,0,0.890902077107352
4,1,1,0,0,0.891394737132607
5,1,1,0,0,0.8901833261950853
6,1,1,0,0,0.8827510793842692
7,1,1,0,0,0.894863879945263
8,1,1,0,0,0.900013536829495
9,1,1,0,0,0.8969571692634926
10,1,1,0,0,0.89476479981506
11,1,1,0,0,0.8954050658292819
12,1,1,0,0,0.8895395950594351
13,1,1,0,0,0.8957857181847624
14,1,1,0,0,0.8972282326457678
15,1,1,0,0,0.8926691446349657
16,1,1,0,0,0.8879662047398476
17,1,1,0,0,0.8904856036822855
18,1,1,0,0,0.8932644286664344
19,1,1,0,0,0.893402017965374
20,1,1,0,0,0.8982427931413319
1,0,0,1,0,0.8570261902938949
2,0,0,1,0,0.8471978257452834
3,0,0,1,0,0.8537463197779919
4,0,0,1,0,0.8579629643089912
5,0,0,1,0,0.8571043827009894
6,0,0,1,0,0.8616016685060036
7,0,0,1,0,0.8547735687383355
8,0,0,1,0,0.8511731727953131
9,0,0,1,0,0.8586204310346828
10,0,0,1,0,0.8471095379197676
11,0,0,1,0,0.8617103977369751
12,0,0,1,0,0.8568941303278432
13,0,0,1,0,0.8549582036196296
14,0,0,1,0,0.8542292926603489
15,0,0,1,0,0.8476819530081456
16,0,0,1,0,0.8534266173255225
17,0,0,1,0,0.8487622485515961
18,0,0,1,0,0.855268355695201
19,0,0,1,0,0.8570253148315948
20,0,0,1,0,0.8584494159922823
1,1,0,1,0,0.8799906510833956
2,1,0,1,0,0.8817002499162426
3,1,0,1,0,0.8848423923307722
4,1,0,1,0,0.8892093146794343
5,1,0,1,0,0.8840559344830277
6,1,0,1,0,0.8768881394122748
7,1,0,1,0,0.8835569499963315
8,1,0,1,0,0.8723617351204737
9,1,0,1,0,0.8791470975458908
10,1,0,1,0,0.8783798537122439
11,1,0,1,0,0.8846338711688692
12,1,0,1,0,0.8827962094580687
13,1,0,1,0,0.8923515399991082
14,1,0,1,0,0.8833289939047325
15,1,0,1,0,0.8734764843034022
16,1,0,1,0,0.8889180452876004
17,1,0,1,0,0.8844140902920096
18,1,0,1,0,0.8800798270824747
19,1,0,1,0,0.8796341200491345
20,1,0,1,0,0.8770983983652944
1,0,1,1,0,0.8855134130251483
2,0,1,1,0,0.8892918850769981
3,0,1,1,0,0.8837499641123283
4,0,1,1,0,0.8895480956247117
5,0,1,1,0,0.8869690242964898
6,0,1,1,0,0.8921826487395357
7,0,1,1,0,0.8879204011921737
8,0,1,1,0,0.880352773972885
9,0,1,1,0,0.8861394830849404
10,0,1,1,0,0.8967051765831088
11,0,1,1,0,0.8811215605720638
12,0,1,1,0,0.8893395993506902
13,0,1,1,0,0.8827181195960339
14,0,1,1,0,0.8868209106386041
15,0,1,1,0,0.8814818776469423
16,0,1,1,0,0.882931689283045
17,0,1,1,0,0.8850461872795914
18,0,1,1,0,0.8781628091886461
19,0,1,1,0,0.8904917532080818
20,0,1,1,0,0.9009764530939014
1,1,1,1,0,0.9249621909789162
2,1,1,1,0,0.9248676293234317
3,1,1,1,0,0.9211965173786614
4,1,1,1,0,0.9293352998139802
5,1,1,1,0,0.919914350701267
6,1,1,1,0,0.9249737018735972
7,1,1,1,0,0.9210091230382456
8,1,1,1,0,0.9222250480506191
9,1,1,1,0,0.9174026313075737
10,1,1,1,0,0.9189405344992659
11,1,1,1,0,0.9192448407476014
12,1,1,1,0,0.9153464138863742
13,1,1,1,0,0.9222106162647135
14,1,1,1,0,0.9300959877506396
15,1,1,1,0,0.9293577486694073
16,1,1,1,0,0.9243933950752317
17,1,1,1,0,0.9252987365759918
18,1,1,1,0,0.9265849947807416
19,1,1,1,0,0.9218896359349873
20,1,1,1,0,0.9151966434150333
1,0,0,0,1,0.8564897999772171
2,0,0,0,1,0.8472926951528106
3,0,0,0,1,0.84263634861315
4,0,0,0,1,0.8550177559287995
5,0,0,0,1,0.8615110487651735
6,0,0,0,1,0.8579736634045881
7,0,0,0,1,0.8596035800236419
8,0,0,0,1,0.853630720170198
9,0,0,0,1,0.853884819005679
10,0,0,0,1,0.8525780414072616
11,0,0,0,1,0.8441887354047862
12,0,0,0,1,0.8547559998647651
13,0,0,0,1,0.8490871841413112
14,0,0,0,1,0.8495921953792477
15,0,0,0,1,0.8460643199383918
16,0,0,0,1,0.8517011528582982
17,0,0,0,1,0.854959089476528
18,0,0,0,1,0.8575453499790283
19,0,0,0,1,0.8516590777342934
20,0,0,0,1,0.8443085511716641
1,1,0,0,1,0.8850848706621738
2,1,0,0,1,0.8755327976384109
3,1,0,0,1,0.8801867178086842
4,1,0,0,1,0.8828333591816475
5,1,0,0,1,0.8733824456723368
