task,seed,method,normalized_HV,IGD_plus,HF_calls_to_90pct_oracle_HV,feasible_fraction,solver_failure_fraction,shape_error,specific_blocking_force_mN_g,peak_stress_ratio,wall_time_h,HF_budget
M1 nominal helix,1,Frank-WT MF-PIRN,0.931392218192097,0.0035563678299303926,110,0.9631035016875753,0.02145359277118769,0.05054009829425554,34.43765596117734,0.654657007510204,12.848409600070353,200
M1 nominal helix,2,Frank-WT MF-PIRN,0.9298042590490362,0.005356991292596782,105,0.9470954903435164,0.03519178268861002,0.05175209388243701,36.23430543464904,0.5776991998172366,13.489310713618096,200
M1 nominal helix,3,Frank-WT MF-PIRN,0.9280540185731989,0.0033998789981488286,98,0.936256794426998,0.035686627727407286,0.05996113843596751,31.663211035806626,0.6276795561695803,12.05428585386613,200
M1 nominal helix,4,Frank-WT MF-PIRN,0.9240049824624272,0.005004066923616543,111,0.9274455702030033,0.02629039848763236,0.05940206614767989,33.580830885503836,0.6087499192377048,12.148039395000957,200
M1 nominal helix,5,Frank-WT MF-PIRN,0.9338657888259428,0.003973570846834893,106,0.9316137586747129,0.028198785649489713,0.058897166973442674,39.176326949982005,0.6169921730793595,13.228444135975733,200
M1 nominal helix,6,Frank-WT MF-PIRN,0.9312744823505891,0.00435412546747518,108,0.9173887180116151,0.02051298849273173,0.05842915278672301,35.61711370850738,0.625647514931101,12.669019148228152,200
M1 nominal helix,7,Frank-WT MF-PIRN,0.9268679922807485,0.004578487852284161,103,0.942030022674191,0.025186867066928197,0.054221486054994404,35.400169308510236,0.6334959299612644,12.082389548349278,200
M1 nominal helix,8,Frank-WT MF-PIRN,0.9328407151120126,0.004130028677292327,105,0.9189053142452275,0.03660597174041731,0.043476988339377694,35.31598525576454,0.6597005519483156,11.264018322758043,200
M1 nominal helix,9,Frank-WT MF-PIRN,0.9217716351616883,0.004225889195095005,116,0.9496554931017961,0.03215800563840253,0.061300826582116955,34.579339292796384,0.639459248192208,12.540627687462052,200
M1 nominal helix,10,Frank-WT MF-PIRN,0.9250495145815582,0.0035288990394845305,106,0.9369539735758631,0.024902313339861905,0.057130192267331625,37.52280482962013,0.6249042656647537,11.365131010000923,200
M1 nominal helix,11,Frank-WT MF-PIRN,0.9305580386499506,0.0045451055921257935,101,0.94828429759906,0.036080629669784904,0.059598184573192166,38.0505242701744,0.6607788015107599,13.944559068067742,200
M1 nominal helix,12,Frank-WT MF-PIRN,0.9294269084946754,0.004602197078132067,108,0.9322216632316702,0.03627569521338461,0.04945625117928866,34.38857722209316,0.6079695207035263,11.250765815433727,200
M1 nominal helix,13,Frank-WT MF-PIRN,0.9243431965880919,0.004424618393413462,102,0.9541841379399304,0.03456636457280985,0.05367314525482568,34.52390542914337,0.5959321654275469,13.405365462066639,200
M1 nominal helix,14,Frank-WT MF-PIRN,0.9226660381886489,0.003953716261863714,107,0.9298430422880891,0.028896567226928526,0.05158677350973582,35.827052745884,0.6254207309228168,13.08239705898343,200
M1 nominal helix,15,Frank-WT MF-PIRN,0.9304876811878817,0.003928187661984058,103,0.9450940814788,0.032229056704210966,0.05206973223832424,33.1696520488749,0.5611480732999935,12.45027830341907,200
M1 nominal helix,16,Frank-WT MF-PIRN,0.924205584530804,0.004150683115459698,102,0.941802097482238,0.015690518945595013,0.060927762799172766,35.11862376767425,0.5982496734026128,12.045698613401598,200
M1 nominal helix,17,Frank-WT MF-PIRN,0.9385109418356962,0.0035371870297446046,108,0.9411509864489704,0.022568763143062744,0.044394905254195524,36.388779658661115,0.6377316465470985,12.079474036924358,200
M1 nominal helix,18,Frank-WT MF-PIRN,0.9275331136741574,0.004782783509947669,102,0.9444909810525334,0.03579165450470274,0.0603858610420918,36.38319784461082,0.6299369692280248,10.65911801374595,200
M1 nominal helix,19,Frank-WT MF-PIRN,0.9321676563375487,0.00407791822965748,100,0.9657736611062987,0.03760106093030076,0.049707431040185636,35.42874256740068,0.582077216141698,12.317259549356407,200
M1 nominal helix,20,Frank-WT MF-PIRN,0.9225797757239157,0.004530480727721492,110,0.947134753054758,0.03065488070380169,0.05710339759186518,32.52831473363586,0.6203432477858847,11.79994794871945,200
M1 nominal helix,21,Frank-WT MF-PIRN,0.9293320122934543,0.003990354770656409,99,0.9333971346893822,0.03216813453955176,0.0590983244922276,37.79371270836226,0.6385035771617598,12.374875300169487,200
M1 nominal helix,22,Frank-WT MF-PIRN,0.9267195504495541,0.005507949744228696,109,0.9698566032010758,0.034820787444523243,0.06473064710118165,36.15057102585499,0.5895563248497713,12.453707598175523,200
M1 nominal helix,23,Frank-WT MF-PIRN,0.9270628529217331,0.003717911068527836,108,0.9646346451796235,0.03202051907416374,0.05555520979936704,36.275850214625805,0.6516950888808317,11.675314743584954,200
M1 nominal helix,24,Frank-WT MF-PIRN,0.926082866202857,0.004800307354458273,98,0.9620248068026316,0.03288614449339049,0.06726891776538349,35.27587110356879,0.667400436522386,13.757006066815224,200
M1 nominal helix,25,Frank-WT MF-PIRN,0.9348857743067444,0.00452353064482098,103,0.9633035635387234,0.01429977770446073,0.03640909159244102,37.955898959226005,0.5961342779799697,13.015110918747864,200
