method,HV_mean,HV_sd,HV_ci95,IGD_plus_mean,HF_calls_mean,feasible_fraction_mean,failure_fraction_mean,shape_error_mean,specific_force_mean,stress_ratio_mean,wall_time_h_mean
Frank-WT MF-PIRN,0.9242949704629517,0.00730681680368111,0.0009244398732852299,0.004426541270244772,109.67083333333333,0.9361432395067764,0.03412208948924203,0.05613471845567306,35.902151202720326,0.627057898323162,13.453063642597677
MF-HVKG,0.8944619539187423,0.007860915006260958,0.0009945429682365458,0.008713994598504844,155.0875,0.900234175793031,0.052230329135752415,0.0675826645732247,33.733926853134854,0.6451548359605591,18.93938137235477
qLogNEHVI,0.8904008488323798,0.008087376641533235,0.0010231943182073902,0.009344119268188482,162.85416666666666,0.8921421162850339,0.057207261733109034,0.06876692069465558,33.65801742962595,0.6466909211792088,19.760234119191978
MOMF,0.8858679167010218,0.008578833219861227,0.001085372154220168,0.010018041875314741,150.51666666666668,0.8945617378137971,0.05575860332647949,0.069414779624861,33.17695068964923,0.645202261658839,18.629559055399262
PHSEA,0.8802978501070436,0.00863927427661319,0.0010930190029569456,0.011157162036372468,171.525,0.9069999433445225,0.049678875842706714,0.07221584935172996,32.98877725483614,0.6517310177755367,19.505863793993097
MSAEA-DM,0.8746461009575055,0.00832031488179689,0.0010526650717651122,0.0119799725654113,180.15416666666667,0.8832689503414526,0.06509796295403039,0.07297805565700209,32.57984320770178,0.6553518318475889,20.559328535758247
AS-SMEA,0.8795826211162027,0.00889288849228328,0.001125105628322878,0.011285393319719245,176.94583333333333,0.887223061913583,0.06236490803583051,0.0724142387513079,32.96033712214101,0.6528966917500835,20.17313530776715
B2 direct screening,0.8706771870096862,0.008638887374823141,0.001092970053126747,0.012920586496770147,189.15,0.880207437170873,0.06993781617444626,0.07548348541559567,32.29845672737703,0.6576368189578364,15.120515523109644
Original MF-BCL-SAEA,0.8629916438359171,0.008928442552555791,0.001129603837578198,0.014261819698479523,185.95,0.8674357311997715,0.0759407771968824,0.07800808482570928,31.89926553605959,0.6620341155475862,18.74562720978208
ParEGO-GP,0.8467310410123012,0.010035887637030033,0.0012697149722991111,0.017406675330945455,196.8625,0.845096232638766,0.09115662222454099,0.0834601217690472,30.733318752153107,0.6694509136911176,20.972566425594536
