task,seed,method,normalized_HV,shape_error,force_MAPE
unseen LCE formulation A,1,Frank-WT MF-PIRN,0.8732148640101984,0.056390206800549895,0.0763387606314126
unseen LCE formulation A,2,Frank-WT MF-PIRN,0.878581542405457,0.05844327935357008,0.07745108396045042
unseen LCE formulation A,3,Frank-WT MF-PIRN,0.8792023662652982,0.04976069083145584,0.06308219931659789
unseen LCE formulation A,4,Frank-WT MF-PIRN,0.8636814006167196,0.05453922940076839,0.08863300652745655
unseen LCE formulation A,5,Frank-WT MF-PIRN,0.8838197533268959,0.05680766080477457,0.05592992734535919
unseen LCE formulation A,6,Frank-WT MF-PIRN,0.8789842947197694,0.05617566161501046,0.07256244066903124
unseen LCE formulation A,7,Frank-WT MF-PIRN,0.8517272358974779,0.049095296414210364,0.0699782037942499
unseen LCE formulation A,8,Frank-WT MF-PIRN,0.885871697221254,0.049812278715211794,0.07926163554385791
unseen LCE formulation A,9,Frank-WT MF-PIRN,0.8706533460703735,0.044612829760413086,0.06347832343017146
unseen LCE formulation A,10,Frank-WT MF-PIRN,0.8606761474444095,0.05180825015944453,0.060519359829431144
unseen LCE formulation A,11,Frank-WT MF-PIRN,0.8663284199404435,0.04863212100562278,0.08614240655268225
unseen LCE formulation A,12,Frank-WT MF-PIRN,0.8885148008787503,0.048591513651952065,0.06911618151280982
unseen LCE formulation A,13,Frank-WT MF-PIRN,0.8778310394101205,0.046266925441729494,0.07998032108495531
unseen LCE formulation A,14,Frank-WT MF-PIRN,0.8650470665883839,0.04993575969154954,0.08764298120802891
unseen LCE formulation A,15,Frank-WT MF-PIRN,0.8690315020681392,0.05966548337024135,0.07311542306510471
unseen LCE formulation A,16,Frank-WT MF-PIRN,0.8706552321835463,0.05957109113519142,0.09060279371464006
unseen LCE formulation A,17,Frank-WT MF-PIRN,0.8623611802794638,0.04549547192109145,0.07733812020900321
unseen LCE formulation A,18,Frank-WT MF-PIRN,0.8667675348898912,0.06079971358462288,0.07650291783242366
unseen LCE formulation A,19,Frank-WT MF-PIRN,0.8544934294499138,0.05812428427993567,0.07899762816320635
unseen LCE formulation A,20,Frank-WT MF-PIRN,0.8828516600773312,0.05350028447971645,0.06429096476894298
unseen LCE formulation A,1,MF-HVKG,0.8673501465654077,0.050541641197678705,0.07923334948730738
unseen LCE formulation A,2,MF-HVKG,0.8409299236648704,0.060749034247568987,0.0849758521147806
