method,point,shape_error,specific_blocking_force_mN_g,peak_stress_ratio
Frank-WT MF-PIRN,1,0.018,41.93495472289173,0.5628669493219638
Frank-WT MF-PIRN,2,0.019888888888888887,41.09254088312001,0.5702094397833138
Frank-WT MF-PIRN,3,0.021777777777777778,40.655139145847244,0.5650312394997199
Frank-WT MF-PIRN,4,0.023666666666666666,41.57840422471147,0.580327512222828
Frank-WT MF-PIRN,5,0.025555555555555554,40.69828668559571,0.5771591761149891
Frank-WT MF-PIRN,6,0.02744444444444444,40.99909987476023,0.5888327230812
Frank-WT MF-PIRN,7,0.02933333333333333,41.478446524429025,0.5761957607576246
Frank-WT MF-PIRN,8,0.03122222222222222,40.65359667164369,0.598718854828955
Frank-WT MF-PIRN,9,0.033111111111111105,40.17814376727512,0.5903576909732533
Frank-WT MF-PIRN,10,0.034999999999999996,40.61349587918302,0.6006565250124181
Frank-WT MF-PIRN,11,0.03688888888888889,39.9547931369476,0.6029605238944823
Frank-WT MF-PIRN,12,0.03877777777777777,39.38282056159347,0.5989071961415244
Frank-WT MF-PIRN,13,0.04066666666666666,40.088735604210804,0.6165318933240088
Frank-WT MF-PIRN,14,0.042555555555555555,38.93342817226882,0.6232095238832654
Frank-WT MF-PIRN,15,0.04444444444444444,40.03397149787299,0.6195272641424918
Frank-WT MF-PIRN,16,0.04633333333333333,38.78426219695969,0.6225567925688942
Frank-WT MF-PIRN,17,0.04822222222222222,37.86856884213827,0.6261831871188523
Frank-WT MF-PIRN,18,0.050111111111111106,38.81107383331585,0.6345702506764519
Frank-WT MF-PIRN,19,0.05199999999999999,38.833746235264535,0.6384297429543742
Frank-WT MF-PIRN,20,0.05388888888888889,38.00839472643164,0.6460163564850084
Frank-WT MF-PIRN,21,0.05577777777777777,37.21103311268321,0.6605230328208841
Frank-WT MF-PIRN,22,0.05766666666666666,38.315093614284294,0.6513671403959124
Frank-WT MF-PIRN,23,0.059555555555555556,37.531372201051084,0.6475516381059625
Frank-WT MF-PIRN,24,0.06144444444444444,36.256442005977085,0.6614440655618852
Frank-WT MF-PIRN,25,0.06333333333333332,37.071244826763184,0.6778274354142657
Frank-WT MF-PIRN,26,0.06522222222222222,37.52902134605672,0.6710316293866724
Frank-WT MF-PIRN,27,0.06711111111111111,36.64235750625323,0.6710120919873288
Frank-WT MF-PIRN,28,0.06899999999999999,36.9875892185735,0.6803888808814256
Frank-WT MF-PIRN,29,0.07088888888888889,35.94510770048042,0.6835919580786449
Frank-WT MF-PIRN,30,0.07277777777777777,35.74104570746792,0.6912233412800252
Frank-WT MF-PIRN,31,0.07466666666666666,35.606867113188606,0.6968826965113141
Frank-WT MF-PIRN,32,0.07655555555555554,35.14768708420531,0.7006239477357401
Frank-WT MF-PIRN,33,0.07844444444444444,35.23664669238611,0.7024575507170844
Frank-WT MF-PIRN,34,0.08033333333333333,35.2535789560664,0.7051856954289321
Frank-WT MF-PIRN,35,0.08222222222222222,35.32495195252954,0.7141578521660108
